name,description
Aakhani Nutrition Ji,Nutrition talks in Sindhi.
Abel Talks Sports And Music,"In this podcast I will talk about Sports and Music I will provide feedback on different topics Crossfit WOD for this evening Today we warmed up with 3 rounds of burped over the bar, pull-ups and push jerks"
Aberta,Trata do universo femenino Resumo de capa
Above Standard,"Above Standard is a way to discuss the upcoming ACFT, different training methods, tips, advice and nutrition tips and tricks.  Support this podcast: https://anchor.fm/above-standard/support This week, I jump on my soapbox about PRT with Reserves &amp; Guard vs. Active duty. Then I talk about why, in my personal opinion, crossfit is the modality for training the ACFT.

--- 

This episode is sponsored by 
· Anchor: The easiest way to make a podcast.  https://anchor.fm/app

Support this podcast: https://anchor.fm/above-standard/support Discussing powerlifting, olympic weightlifting and Hot Yoga - we go over what these modalities ate and their benefits. 

--- 

This episode is sponsored by 
· Anchor: The easiest way to make a podcast.  https://anchor.fm/app

Support this podcast: https://anchor.fm/above-standard/support What is a ""Bro session"" amd why would you think about doing one?

--- 

This episode is sponsored by 
· Anchor: The easiest way to make a podcast.  https://anchor.fm/app

Support this podcast: https://anchor.fm/above-standard/support Let's talk about what we're going to be talking about . . . and what we won't be talking about. 

--- 

This episode is sponsored by 
· Anchor: The easiest way to make a podcast.  https://anchor.fm/app

Support this podcast: https://anchor.fm/above-standard/support Learn about who I am and Above Standard. Find out what this podcast is going to be about and why I am the one to tell you about it. 

--- 

This episode is sponsored by 
· Anchor: The easiest way to make a podcast.  https://anchor.fm/app

Support this podcast: https://anchor.fm/above-standard/support"
Above Then Beyond,"Hello! I’m Valerie, a certified personal trainer living and working in London. In this podcast I’m sharing my thoughts on the latest advancements in exercise science and useful fitness tips! Hello! It's Valerie and I'm happy to welcome you in the first episode of my new podcast!

The first topic that I'd like to talk about is motivation. In this episode I am sharing my 5 tips for getting motivated to work out.

Valerie Zeller is a certified personal fitness trainer living and working in London. Learn more about Valerie at her personal website: http://valeriefit.co.uk"
Above Then Beyond: Fitness Lifestyle Podcast with Valerie Zeller,"Hello! I'm Valerie, a certified personal trainer living and working in London. In this podcast I'm sharing my thoughts on the latest advancements in exercise science and useful fitness tips! Hi guys!So you work out regularly, eat clean and healthy, but still cannot see the results? No worries, literally. It is a common problem and the reason is most likely your STRESS! Let's talk about how to overcome it!Valerie Zeller is a certified personal fitness trainer living and working in London. Learn more about Valerie at her personal website: https://valeriefit.co.uk Hello! It's Valerie and I'm happy to welcome you in the first episode of my new podcast!The first topic that I'd like to talk about is motivation. In this episode I am sharing my 5 tips for getting motivated to work out.Valerie Zeller is a certified personal fitness trainer living and working in London. Learn more about Valerie at her personal website: https://valeriefit.co.uk"
Absolute Strength,"All things Strength (physical, mental and spiritual)We'll hear from everyday people that are the true embodiment of Absolute Strength. Hunter talks about being the FNG and how he loves learning. The beginner mindset and how he's comfortable in it."
AbundanCEO,"For a womxn on the move -- we're a resource for aspiring entrepreneurs who want to live purposeful lives and need a little support. Your co-hosts, Maria and Alex  found each other working their 9-5's and later went to build their own businesses. They’ve experienced major highs and lows, and like many CEOs realized that the business of making a business gets hard AF. So they decided it’s way more fun if you join them on the never-ending journey. This podcast is equal parts real talk and practical advice for anyone who wants more from life than a 9-5. Fueled by a healthy dose of brutal honesty, deep dives into fears and personal stories plus your very own actionable steps toward your dreams. We're baaaaack! And we're kicking off Season 2 with a 4-part episode series. We asked you what you wanted to hear about next and we listened. You asked ""how can I quit my job or start a business with $0 in the bank""? So we’re going there in this episode. In this first episode Maria and Alex share their start-up stories. Maria shares how she budgeted a brick and mortar business with no savings, while Alex takes us back in time when she first made the financial leap with her apparel company using ""intuition based budgeting"" and her monthly budget plan. Our 4-part conversation about all things money, starts here. This is our final week of the abundance challenge, where we’re getting better and better at operating from a place of abundance instead of scarcity. 

This week is a BIG week — it’s time to tell the world about what you’ve been up to. Say you you want to leave your high-paying IT gig with crazy good benefits and be a professional photographer, and now you have to break the news to your mom. We don’t care if you’re 20 or 45, —  all of us at one time or another feel fearful of other’s reactions. It’s especially challenging if we know that people we care about will not understand. How will they react? What will they think? What will they say? Now it’s time to rip that band-aid! The biggest gift you can give yourself on this challenge is to be to true yourself.

The convos are taking place on our IG @_abundanceo, we’d love to hear your thoughts. Who did you tell? How did this 30 day challenge make a difference in your life? This is week 3 of our abundance challenge, where we’re getting better and better at operating from a place of abundance instead of scarcity. 

This week, we make contact and meet some people. Sometimes we get caught up in “the steps” and can think that there is a clear and linear path to “success”. But the more we get exposed to people who follow their dreams, the more we see that that’s just not true.

Reach out to someone who’s doing what you want to do (or someone simply living the life of their dreams), and ask them how they got there. It may seem intimidating at first, but you might be surprised that there are people out there that are willing to talk to you. This step is especially important for those of us who are not surrounded by doers and makers, and instead surrounded any complainers and nay-sayers. 

The convos are taking place on our IG @_abundanceo, we’d love to hear your experience. Tell us, how did it go this week? Today we’re continuing our 30 day abundance challenge, where we’re spending the next 30 days training ourselves to operate form a place of abundance instead of scarcity — which we believe is key for business. For this week’s challenge, we take it a step further. And get ready, because this one is not easy. 

This week, say “no” to an idea or project that does not resonate with you but is difficult to pass up. Saying “no” to something can be challenging, especially if it means we can “lose out” on money, let someone down, or “pass up” a crazy good opportunity. For example, you want to quit your job, but your boss just offers up a raise and a fancy new title. Or your friend asks you for help, but you are tired and depleted and you feel bad saying no. Take a look at your opportunities and to-do lists —whether professional or personal — that you just know in your heart are not meant for you. Say “NO”.

The convos are taking place on our IG  @_abundanceo, we’d love to hear how you’re doing with this one! What is surprising about saying “no”? Was it easier than you thought? Today we kick off our 30 day abundance challenge! This is where we’ll spend the next 30 days training ourselves to operate form a place of abundance instead of scarcity, which we believe is key for business. 

This week, take a “time out” from people or a person who is not supportive of your new venture, interest or lifestyle. This can mean that you take more space from the person in an obvious way or just energetically remove yourself from having to explain yourself, and notice how that feels. Did your energy level shift? What else is different?

The convos are taking place on our IG, we’d love to hear how you’re doing with this one! Is there such a thing as too many ideas? Do we multi-task and test the waters on multiple projects/businesses, or focus on one? If you’re an idea machine or trying to figure out which business idea to act on, in today’s episode, Maria and Alex describe different ways they focus their time.

They discuss how they structure their to-do lists and talk about their approaches — Alex is a “multi-tasker”, while Maria focuses her time primarily on one idea at a time. They also share what happens when they get stuck, face challenges, get burnt out or want to quit."
Accelerate,"Workout Stragties and life advice Support this podcast: https://anchor.fm/dan-o2/support Email:danaccelerate@gmail.com

--- 

This episode is sponsored by 
· Anchor: The easiest way to make a podcast.  https://anchor.fm/app

Support this podcast: https://anchor.fm/dan-o2/support Email:danaccelerate@gmail.com

--- 

This episode is sponsored by 
· Anchor: The easiest way to make a podcast.  https://anchor.fm/app

Support this podcast: https://anchor.fm/dan-o2/support Email:Danaccelerate@gmail.com

--- 

Support this podcast: https://anchor.fm/dan-o2/support Email:danaccelerate@gmail.com

--- 

This episode is sponsored by 
· Anchor: The easiest way to make a podcast.  https://anchor.fm/app

Support this podcast: https://anchor.fm/dan-o2/support Email: danaccelerate@gmail.com

--- 

Support this podcast: https://anchor.fm/dan-o2/support Email: danaccelerate@gmail.com

--- 

Support this podcast: https://anchor.fm/dan-o2/support"
Accelerate Your Success with Amanda Tress,"This is the Accelerate Your Success podcast with Amanda Tress.Amanda Tress is the creator and founder of the FASTer Way to Fat Loss and a digital marketing agency for female small business owners.She’s here to teach you how to accelerate your success in health and wellness, business, marketing, and finances. Join us for valuable tips, inspirational interviews, and powerful messages that will equip and empower you to accelerate your success.https://www.amandatress.com/https://www.fasterwaytofatloss.com/ Amanda interviews Keri Murphy about using video to accelerate your business. Keri shares about her business journey and how to show up on live video like you're meant to be there.
 ----
 The CEO and founder of Inspired Living, Keri Murphy is committed to empowering people all over the world to “Dream it. Live it. BE it!” An international speaker, media expert, and business mentor, she honed her expertise in the entrepreneurial field for over 20 years, helping others to create—and succeed at—a business they love. Murphy is a television veteran with appearances on MTV, E!, FOX and NBC just to name a few. Her Inspired Living TV web series helps people bridge the gap between having a dream and making it their reality.  inspiredliving.tv
   Amanda interviews Natasha Stoneking. Natasha reveals how she has built her online community and her Instagram strategy (she has worked with Nordstrom, Lilly Pulitzer, &amp; Home Goods), and why she responds to every DM.
 Natasha Stoneking is a wife, mom, and lifestyle blogger out of Nashville, TN. She loves to travel, entertain, bake, and live a healthy lifestyle. Natasha is passionate about connecting with other women in the same season of life, inspiring people to make the most of their time, and savoring the joy and happiness that each day brings. Amanda interviews Dr. BJ Fogg from Stanford University. They talk about creating small habits that add up to huge wins. Amanda interviews Beth Djalali (Style at a Certain Age). Beth has a very successful brand and blog that she started at 56, and is now growing in her 60s. Beth believes that fashion trends come and go but true style is ageless. Listen in as Beth inspires female entrepreneurs to pursue their dreams no matter what their age or background.  Hear from Courtney B Schultz regarding how to be an effective micro-influencer. She shares how she's used her story and struggle with a stroke to do GOOD in the world. 
  
 https://www.fasterwaytofatloss.com/conference"
